JournalID,Venue,Year,Volume
0,Interactive Learning Environments,2022,31
1,IEEE Sensors Journal,2021,21
2,IEEE Transactions on Learning Technologies,2019,12
2,IEEE Transactions on Learning Technologies,2013,6
3,IEEE Internet of Things Journal,2019,6
4,IEEE Transactions on Automation Science and Engineering,2024,21
5,Education and Information Technologies : Official Journal of the IFIP technical committee on Education,2022,28
6,IEEE Transactions on Affective Computing,2022,13
7,The International Journal of Management Education,2021,0
8,IET electric power applications,2019,0
9,Archives of Control Sciences,2023,0
10,International Journal of Speech Technology,2021,24
11,Pattern Analysis and Applications,2017,20
12,Pattern Recognition and Image Analysis,2018,28
13,Data & Knowledge Engineering,2018,117
14,Informatics,2017,4
15,IEEE Journal on Selected Areas in Communications,2022,41
16,Journal of Systems and Information Technology,2024,26
4,IEEE Transactions on Automation Science and Engineering,2023,0
17,Entropy,2022,24
18,Cybernetics and systems,2022,54
11,Pattern Analysis and Applications,2019,22
19,Cognitive Computation,2018,10
20,Artificial Intelligence Review,2018,52
21,SIAM Journal on Applied Mathematics,2017,0
22,Research on computing science,2015,102
23,Computers & electrical engineering,2023,110
3,IEEE Internet of Things Journal,2022,10
24,Pattern Recognition,2024,0
25,Journal of King Saud University: Computer and Information Sciences,2023,36
26,Machine-mediated learning,2023,112
27,IEEE Transactions on Image Processing,2023,32
28,bioRxiv,2023,0
28,bioRxiv,2018,0
29,Annals of Software Engineering,1999,7
30,TEM Journal,2020,0
31,Frontiers of Computer Science in China,2007,1
32,IEEE Transactions on Pattern Analysis and Machine Intelligence,2004,26
8,IET electric power applications,2020,0
33,IEEE transactions on magnetics,2016,52
33,IEEE transactions on magnetics,2015,51
34,Journal of Systems and Software,2023,209
20,Artificial Intelligence Review,2022,56
35,IET Software,2020,14
36,The Arabian journal for science and engineering,2020,45
37,IEEE Access,2021,9
38,International journal of information technology,2019,14
39,ACM Transactions on Recommender Systems,2023,0
40,"Soft Computing - A Fusion of Foundations, Methodologies and Applications",2023,27
41,Electronic library,2023,41
42,Molecular Neurodegeneration,2022,17
43,Reviews in the Neurosciences,2019,30
44,Biological Research for Nursing,2018,20
45,Journal of Alzheimer's Disease,2017,59
46,Alzheimer's & Dementia,2017,13
47,The VLDB journal,2023,33
48,Proceedings of the VLDB Endowment,2022,15
49,Computers & security,2024,144
50,ACM Transactions on Software Engineering and Methodology,2024,0
51,Sustainability,2021,0
52,Computational Intelligence and Neuroscience,2020,2020
53,Proceedings of the IEEE,2024,112
54,IEEE Transactions on Mobile Computing,2024,0
55,IEEE Open Journal of the Communications Society,2024,5
56,Electronics,2021,0
57,IEEE Transactions on Industrial Informatics,2023,19
58,Journal of Computer Science,2022,61
59,Applied Sciences,2021,0
60,Journal of Scheduling,2020,24
61,International Journal of Production Research,2018,57
62,Journal of Intelligent Manufacturing,2017,30
63,Wireless personal communications,2021,127
64,Journal of engineering design,2020,31
1,IEEE Sensors Journal,2017,17
59,Applied Sciences,2020,0
65,Transactions of the Association for Computational Linguistics,2022,11
66,Journal of Artificial Intelligence Research,2021,74
67,IEEE Transactions on Vehicular Technology,2023,72
23,Computers & electrical engineering,2013,39
68,Applied Soft Computing,2023,142
69,IEEE Systems Journal,2020,14
3,IEEE Internet of Things Journal,2021,9
70,IEEE Network,2020,34
71,IEEE Transactions on Network Science and Engineering,2020,7
72,Scientific Reports,2022,12
73,Applied Artificial Intelligence,2022,36
74,IEEE/ACM Transactions on Computational Biology & Bioinformatics,2021,19
37,IEEE Access,2023,11
75,Knowledge-Based Systems,2023,280
17,Entropy,2023,25
76,Neurocomputing,2020,432
77,Neural Networks,2019,0
77,Neural Networks,2018,98
77,Neural Networks,2013,46
78,Multimedia tools and applications,2021,81
79,Renewable Energy,2018,0
50,ACM Transactions on Software Engineering and Methodology,2020,30
80,Constraints,2019,27
81,Computers and Electronics in Agriculture,2019,163
82,"Proceedings of the Institution of mechanical engineers. Part D, journal of automobile engineering",2021,236
83,International Journal of Computer Vision,2019,129
84,Applied and Computational Engineering,2024,0
50,ACM Transactions on Software Engineering and Methodology,2023,33
85,IEEE/ACM Transactions on Networking,2022,30
86,ACM Transactions on Computer Systems,2021,38
26,Machine-mediated learning,2017,107
87,Computer Science and Information Systems,2015,12
88,Computer communication review,2023,53
89,Journal of Signal Processing Systems,2008,53
90,IEEE Transactions on Evolutionary Computation,2007,11
91,IEEE Transactions on Knowledge and Data Engineering,2005,17
13,Data & Knowledge Engineering,1998,25
92,Evolutionary Computation,1996,4
27,IEEE Transactions on Image Processing,2024,33
